d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
54.9720659,32.4210381,36.2097046,1.3761495,0.1069452,8.0000000,0.0000000
55.1719643,32.2246245,36.2462997,1.3967943,0.0997224,8.0000000,0.0000000
55.3718627,32.0272735,36.2790136,1.4160131,0.0924442,8.0000000,0.0000000
55.5717611,31.8294881,36.3080537,1.4337619,0.0849753,8.0000000,0.0000000
55.7716595,31.6314759,36.3337035,1.4499205,0.0767790,8.0000000,0.0000000
55.9715580,31.4327365,36.3563409,1.4646302,0.0703824,8.0000000,0.0000000
56.1714564,31.2339064,36.3761597,1.4780642,0.0645203,8.0000000,0.0000000
56.3713548,31.0347680,36.3934149,1.4905119,0.0600284,8.0000000,0.0000000
56.5712532,30.8353682,36.4082842,1.5020661,0.0555292,8.0000000,0.0000000
56.7711516,30.6359652,36.4209303,1.5127035,0.0509494,8.0000000,0.0000000
56.9710501,30.4362971,36.4315526,1.5224385,0.0464143,8.0000000,0.0000000
57.1709485,30.2365841,36.4403197,1.5312624,0.0418820,8.0000000,0.0000000
57.3708469,30.0369074,36.4474113,1.5391774,0.0373355,8.0000000,0.0000000
57.5707453,29.8369981,36.4530173,1.5461949,0.0328376,8.0000000,0.0000000
57.7706438,29.6371666,36.4573084,1.5523069,0.0283348,8.0000000,0.0000000
57.9705422,29.4373314,36.4604675,1.5575218,0.0238434,8.0000000,0.0000000
58.1704406,29.2373895,36.4626749,1.5618429,0.0193832,8.0000000,0.0000000
58.3703390,29.0375374,36.4641070,1.5652699,0.0149212,8.0000000,0.0000000
58.5702374,28.8376365,36.4649431,1.5678095,0.0104804,8.0000000,0.0000000
58.7701359,28.6377080,36.4653592,1.5694870,0.0064193,8.0000000,0.0000000
58.9700343,28.4378677,36.4655186,1.5703838,0.0028320,8.0000000,0.0000000
59.1699327,28.2379319,36.4655552,1.5707900,0.0012293,8.0000000,0.0000000
59.3698311,28.0380242,36.4655408,1.5709210,0.0004127,8.0000000,0.0000000
59.5697295,27.8381945,36.4655093,1.5709786,0.0001698,8.0000000,0.0000000
59.7696280,27.6382349,36.4654697,1.5710089,0.0001333,8.0000000,0.0000000
59.9695264,27.4383428,36.4654248,1.5710320,0.0000988,8.0000000,0.0000000
60.1694248,27.2384922,36.4653760,1.5710485,0.0000664,8.0000000,0.0000000
60.3693232,27.0385428,36.4653244,1.5710589,0.0000379,8.0000000,0.0000000
60.5692216,26.8386612,36.4652713,1.5710637,0.0000111,8.0000000,0.0000000
60.7691201,26.6387863,36.4652178,1.5710635,-0.0000134,8.0000000,0.0000000
